supplier_id,corridor,tier,tax_id_type,has_tax_id,entity_resolution_pass,jw_score,auto_merge_eligible,ppr_rate,kyc_fields_prepopulated,kyc_fields_total,manual_onboard_days,auto_onboard_days_target,onboard_cost_usd,eligible_volume_usd,net_margin_yield,npv_5yr_usd,npv_positive,status
SUP_0001,India,T2,GSTIN,0,Pass2_Probabilistic,0.899,1,0.5911,9,15,18,3,953,110148,0.01,3222.48,1,Active
SUP_0002,Singapore,T3,UEN,0,Pass2_Probabilistic,0.711,0,0.721,11,15,16,5,903,15818,0.01,-303.37,0,Active
SUP_0003,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.6983,10,15,12,4,1179,131238,0.01,3795.95,1,Dropped_Off
SUP_0004,Vietnam,T2,MST,1,Pass1_Deterministic,,1,0.4777,7,15,12,3,879,129360,0.01,4024.76,1,Active
SUP_0005,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.5889,9,15,13,2,809,255612,0.01,8880.71,1,Onboarding
SUP_0006,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7202,11,15,16,4,819,494366,0.01,17921.36,1,Onboarding
SUP_0007,Singapore,T1,UEN,0,Pass2_Probabilistic,0.831,0,0.7096,11,15,15,3,1125,635157,0.01,22952.45,1,Active
SUP_0008,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.6004,9,15,17,3,1105,48351,0.01,727.88,1,Active
SUP_0009,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7553,11,15,17,2,1075,187844,0.01,6045.77,1,Enrolled_Not_Active
SUP_0010,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7307,11,15,13,2,958,135192,0.01,4166.84,1,Active
SUP_0011,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6653,10,15,17,5,1125,742994,0.01,27040.32,1,Active
SUP_0012,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.5663,8,15,14,5,1077,19663,0.01,-331.62,0,Dropped_Off
SUP_0013,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.583,9,15,15,4,955,47328,0.01,839.1,1,Active
SUP_0014,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7502,11,15,12,2,895,204922,0.01,6873.16,1,Active
SUP_0015,India,T1,GSTIN,0,Pass2_Probabilistic,0.723,0,0.6348,10,15,18,4,1084,963210,0.01,35429.24,1,Dropped_Off
SUP_0016,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7335,11,15,18,3,1009,488569,0.01,17511.61,1,Active
SUP_0017,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7094,11,15,15,5,1200,145696,0.01,4323.02,1,Onboarding
SUP_0018,India,T2,GSTIN,0,Pass2_Probabilistic,0.715,0,0.5815,9,15,12,3,1090,63450,0.01,1315.25,1,Enrolled_Not_Active
SUP_0019,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6411,10,15,15,4,1146,151291,0.01,4589.12,1,Active
SUP_0020,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.5806,9,15,15,5,901,875331,0.01,32280.93,1,Enrolled_Not_Active
SUP_0021,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.5629,8,15,14,2,1004,152153,0.01,4763.8,1,Onboarding
SUP_0022,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6013,9,15,12,3,951,890527,0.01,32806.98,1,Active
SUP_0023,Singapore,T1,UEN,1,Pass1_Deterministic,,1,0.7424,11,15,13,2,883,270658,0.01,9377.07,1,Active
SUP_0024,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7212,11,15,14,2,1085,174210,0.01,5518.93,1,Dropped_Off
SUP_0025,Singapore,T2,UEN,0,Pass2_Probabilistic,0.78,0,0.6888,10,15,17,4,1070,137502,0.01,4142.41,1,Active
SUP_0026,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.759,11,15,17,5,1022,37684,0.01,406.52,1,Active
SUP_0027,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.443,7,15,14,3,1112,853080,0.01,31226.44,1,Active
SUP_0028,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7193,11,15,18,2,1116,70460,0.01,1554.99,1,Active
SUP_0029,Vietnam,T2,MST,1,Pass1_Deterministic,,1,0.4632,7,15,17,5,1082,112784,0.01,3193.4,1,Active
SUP_0030,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.5957,9,15,16,4,875,892494,0.01,32957.54,1,Enrolled_Not_Active
SUP_0031,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6109,9,15,18,4,1119,61162,0.01,1199.52,1,Onboarding
SUP_0032,India,T1,GSTIN,0,Pass2_Probabilistic,0.911,1,0.5659,8,15,17,5,908,981704,0.01,36306.31,1,Active
SUP_0033,India,T1,GSTIN,1,Pass1_Deterministic,,1,0.6218,9,15,15,4,1164,564691,0.01,20242.23,1,Active
SUP_0034,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.6433,10,15,15,3,1080,39843,0.01,430.36,1,Enrolled_Not_Active
SUP_0035,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.7369,11,15,12,3,904,27676,0.01,145.14,1,Dropped_Off
SUP_0036,India,T3,GSTIN,1,Pass1_Deterministic,,1,0.5845,9,15,18,2,1056,31365,0.01,132.98,1,Active
SUP_0037,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.7201,11,15,18,5,1138,71686,0.01,1579.46,1,Active
SUP_0038,Singapore,T1,UEN,0,Pass2_Probabilistic,0.815,0,0.7292,11,15,13,4,1172,475419,0.01,16850.12,1,Enrolled_Not_Active
SUP_0039,India,T2,GSTIN,1,Pass1_Deterministic,,1,0.6089,9,15,12,2,993,169502,0.01,5432.46,1,Enrolled_Not_Active
SUP_0040,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.6918,10,15,16,5,851,163050,0.01,5329.88,1,Onboarding
SUP_0041,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.4526,7,15,13,4,1174,961262,0.01,35265.39,1,Enrolled_Not_Active
SUP_0042,Vietnam,T2,MST,1,Pass1_Deterministic,,1,0.4682,7,15,15,4,1052,188761,0.01,6103.53,1,Active
SUP_0043,Vietnam,T1,MST,1,Pass1_Deterministic,,1,0.4826,7,15,13,4,1038,735607,0.01,26847.29,1,Active
SUP_0044,Singapore,T3,UEN,1,Pass1_Deterministic,,1,0.7366,11,15,13,2,1017,28746,0.01,72.7,1,Active
SUP_0045,Singapore,T1,UEN,0,Pass2_Probabilistic,0.762,0,0.7249,11,15,17,3,1087,953241,0.01,35048.33,1,Active
SUP_0046,Vietnam,T2,MST,1,Pass1_Deterministic,,1,0.4602,7,15,14,2,930,57436,0.01,1247.28,1,Enrolled_Not_Active
SUP_0047,Singapore,T2,UEN,1,Pass1_Deterministic,,1,0.8063,12,15,13,5,1152,67157,0.01,1393.78,1,Active
SUP_0048,Vietnam,T2,MST,1,Pass1_Deterministic,,1,0.4398,7,15,14,2,946,152591,0.01,4838.4,1,Enrolled_Not_Active
